County Name,Region Name,Media Market,Registered Voters,Total Voters,Turnout Percentage,James Jerome Bell (WI)*,Michael Bickelmeyer (WI)*,Darrell L. Castle (WI)*,Hillary Clinton (D),Richard Duncan,Cherunda Fox (WI)*,Ben Hartnell (WI)*,Tom Hoefling (WI)*,Bruce E. Jaynes (WI)*,Gary Johnson,Chris Keniston (WI)*,Barry Kirschner (WI)*,Laurence Kotlikoff (WI)*,Joseph Maldonado (WI)*,Michael Andrew Maturen (WI)*,Evan McMullin (WI)*,Monica Moorehead (WI)*,Joe Schriner (WI)*,Mike Smith (WI)*,Jill Stein (G),Josiah R. Stroh (WI)*,Douglas W. Thomson (WI)*,Donald J. Trump (R)
Total,,,7861025,5607641,0.713347305,9,6,1887,2394164,24235,5,589,268,8,174498,114,15,90,18,552,12574,19,62,62,46271,30,6,2841005
Percentage,,,,,,1.63741E-06,1.09161E-06,0.00034331,0.435580763,0.00440918,9.09672E-07,0.000107159,4.87584E-05,1.45548E-06,0.031747187,2.07405E-05,2.72902E-06,1.63741E-05,3.27482E-06,0.000100428,0.002287643,3.45675E-06,1.12799E-05,1.12799E-05,0.008418286,5.45803E-06,1.09161E-06,0.516876507
Adams,Southwest,Cincinnati,16945,11583,0.683564473,0,0,16,2326,62,0,0,4,0,226,0,0,0,0,0,17,0,2,0,47,0,0,8659
Allen,West,Lima,68054,46735,0.686734064,0,0,8,13294,225,0,0,0,0,1486,0,0,0,0,2,68,0,1,0,323,0,0,30487
Ashland,Northeast,Cleveland,35452,25104,0.708112377,0,0,15,5740,183,0,0,1,0,906,1,0,0,0,5,61,0,0,0,185,0,0,17493
Ashtabula,Northeast,Cleveland,60624,41797,0.689446424,0,0,4,15577,271,0,1,3,0,1213,0,0,0,1,0,51,0,1,0,427,0,0,23318
Athens,Southeast,Columbus,45418,30042,0.66145581,0,0,8,16370,130,0,0,0,0,1012,0,0,0,0,6,24,0,0,0,539,0,0,11354
Auglaize,West,Lima,31666,24019,0.758510705,0,0,3,3980,132,0,0,4,0,701,2,0,2,0,4,27,0,2,0,112,0,0,18658
Belmont,Southeast,Wheeling,46971,31848,0.678035384,0,0,4,8785,214,0,1,0,0,777,0,0,0,0,3,34,0,0,0,195,1,0,21108
Brown,Southwest,Cincinnati,28405,19889,0.700193628,0,0,4,4353,95,0,1,2,0,431,1,0,0,0,0,43,0,1,0,103,0,0,14573
Butler,Southwest,Cincinnati,247972,176301,0.7109714,0,0,71,58642,566,1,3,12,0,5790,3,1,0,0,16,579,0,3,3,1173,0,0,106976
Carroll,Northeast,Cleveland,18002,13368,0.742584157,0,0,10,3154,86,0,0,0,0,450,1,0,1,0,0,27,0,0,0,91,0,0,9254
Champaign,West,Dayton,25696,18548,0.721824408,0,0,10,4594,104,0,0,2,0,582,0,0,0,0,1,33,0,0,0,147,0,0,12631
Clark,West,Dayton,89006,62756,0.705076062,0,0,18,23328,326,0,6,10,0,1895,4,0,0,0,0,125,0,1,0,511,0,0,35205
Clermont,Southwest,Cincinnati,136454,100859,0.739142861,0,0,36,26715,321,0,3,7,0,3504,0,0,1,0,9,272,0,0,2,728,0,5,67518
Clinton,Southwest,Cincinnati,26351,18966,0.719744981,0,0,10,4066,80,0,0,3,0,514,0,0,0,0,1,33,0,1,2,127,0,0,13838
Columbiana,Northeast,Youngstown,65637,47025,0.716440422,0,0,30,12432,228,0,1,3,0,1401,0,0,0,1,0,109,0,0,0,320,0,0,31676
Coshocton,Central,Columbus,22905,15865,0.692643528,0,0,4,4013,115,0,4,3,0,468,0,0,0,0,0,42,0,0,0,118,0,0,10785
Crawford,Central,Columbus,28096,19534,0.695259112,0,0,8,4625,121,0,0,0,0,714,1,0,0,0,0,38,0,0,0,119,0,0,13611
Cuyahoga,Northeast,Cleveland,890626,617350,0.693164134,2,3,99,398271,1878,0,9,11,2,12993,8,0,5,3,48,1020,5,6,6,5242,0,0,184211
Darke,West,Dayton,34063,25821,0.758036579,0,0,10,4470,123,0,1,1,0,649,1,0,0,0,0,68,0,0,0,149,0,0,20012
Defiance,Northwest,Toledo,25629,18603,0.725857427,0,0,17,5368,128,0,0,2,0,782,0,0,0,0,5,49,0,0,0,153,0,0,11688
Delaware,Central,Columbus,133074,106996,0.804033846,0,0,27,40872,333,0,43,6,0,4116,0,0,0,0,6,221,0,0,0,668,0,0,57568
Erie,Northeast,Cleveland,53103,38478,0.724591831,0,0,7,16057,229,0,0,0,0,1225,0,1,2,0,4,60,2,1,0,342,0,0,19648
Fairfield,Central,Columbus,100115,74225,0.741397393,0,0,52,24881,373,1,9,9,0,2439,1,0,1,0,7,267,0,0,1,558,0,0,44314
Fayette,Central,Columbus,16247,11325,0.697051763,0,0,6,2739,50,0,1,0,0,295,0,0,0,0,0,19,0,0,0,57,0,0,7995
Franklin,Central,Columbus,843481,593435,0.703554674,4,0,210,351198,1866,0,428,28,1,19725,11,0,16,2,73,2118,2,5,13,6106,3,0,199331
Fulton,Northwest,Toledo,29058,21602,0.743409732,0,0,27,6069,139,0,0,0,0,1024,7,0,0,0,2,81,0,0,0,167,0,0,13709
Gallia,Southeast,Charleston,18831,13250,0.703626998,0,0,8,2628,83,0,0,0,0,285,0,0,0,0,0,7,0,0,0,98,0,0,9822
Geauga,Northeast,Cleveland,64856,51580,0.795300358,0,0,13,17569,228,0,1,1,0,1502,0,0,1,0,1,63,1,0,1,333,0,0,30227
Greene,West,Dayton,114521,83701,0.730879053,0,0,9,28943,302,0,0,0,0,3277,0,0,0,0,5,101,0,0,1,680,0,0,48540
Guernsey,Southeast,Columbus,24186,16852,0.696766725,0,0,11,4359,84,0,0,0,0,549,0,0,0,0,0,10,0,0,0,99,0,0,11445
